elapsed_ms,rss_mb_decimal,pss_mb_decimal,gpu_memory_mb_decimal,total_memory_mb_decimal,cgroup_memory_mb_decimal
0.0,820.44928,815.142912,0.0,820.44928,46124.670976
97.545653,820.44928,815.142912,0.0,820.44928,46124.916736
196.373127,820.44928,815.142912,0.0,820.44928,46124.941312
297.585388,820.44928,815.142912,0.0,820.44928,46124.662784
401.045733,820.44928,815.142912,0.0,820.44928,46124.908544
502.617124,820.44928,815.142912,0.0,820.44928,46124.89216
604.263631,820.44928,815.142912,0.0,820.44928,46124.875776
704.866272,820.44928,815.142912,0.0,820.44928,46124.597248
805.981836,820.44928,815.142912,0.0,820.44928,46124.580864
906.802284,820.44928,815.142912,0.0,820.44928,46124.56448
1007.250111,820.44928,815.142912,0.0,820.44928,46124.548096
1108.505284,820.44928,815.142912,0.0,820.44928,46124.531712
1211.740828,820.44928,815.142912,0.0,820.44928,46124.515328
1316.700773,820.44928,815.142912,0.0,820.44928,46124.761088
1423.898406,820.44928,815.142912,0.0,820.44928,46124.744704
1525.970471,820.44928,815.142912,0.0,820.44928,46124.72832
1627.384409,820.44928,815.142912,0.0,820.44928,46124.19584
1729.490542,820.44928,815.142912,0.0,820.44928,46124.17536
1831.95872,820.44928,815.142912,0.0,820.44928,46124.158976
1935.239156,820.44928,815.142912,0.0,820.44928,46124.142592
2035.4372,820.44928,815.142912,0.0,820.44928,46124.126208
2142.828894,820.44928,815.142912,0.0,820.44928,46124.109824
2250.918123,820.44928,815.142912,0.0,820.44928,46124.158976
2360.567712,820.44928,815.142912,0.0,820.44928,46124.11392
2466.409064,820.44928,815.142912,0.0,820.44928,46124.35968
2589.978442,820.457472,815.151104,0.0,820.457472,46124.8512
2703.669174,821.661696,816.347136,0.0,821.661696,46125.699072
2801.49083,821.661696,816.355328,0.0,821.661696,46125.682688
2899.187759,821.661696,816.355328,0.0,821.661696,46125.666304
3001.407852,821.661696,816.355328,0.0,821.661696,46125.912064
3101.943068,821.661696,816.355328,0.0,821.661696,46125.674496
3199.951796,821.661696,816.355328,0.0,821.661696,46125.920256
3296.585188,821.661696,816.355328,0.0,821.661696,46125.641728
3396.948774,821.661696,816.355328,0.0,821.661696,46125.481984
3492.393749,821.661696,816.355328,0.0,821.661696,46125.727744
3589.02091,821.661696,816.355328,0.0,821.661696,46125.71136
3684.4617,821.661696,816.355328,0.0,821.661696,46125.694976
3787.542496,821.661696,816.355328,0.0,821.661696,46125.678592
3888.984301,821.661696,816.355328,0.0,821.661696,46125.662208
3989.818141,821.661696,816.355328,0.0,821.661696,46125.645824
4089.864387,821.661696,816.355328,0.0,821.661696,46125.62944
4190.681155,821.661696,816.355328,0.0,821.661696,46125.613056
4291.507601,821.661696,816.355328,0.0,821.661696,46125.596672
4392.527999,821.661696,816.355328,0.0,821.661696,46125.842432
4497.806359,821.661696,816.355328,0.0,821.661696,46125.826048
4600.038988,821.661696,816.355328,0.0,821.661696,46125.809664
4702.649011,821.661696,816.355328,0.0,821.661696,46125.79328
4805.068711,821.661696,816.355328,0.0,821.661696,46125.776896
4906.678585,821.661696,816.355328,0.0,821.661696,46125.760512
5006.850909,821.661696,816.355328,0.0,821.661696,46125.744128
5109.299521,821.661696,816.355328,0.0,821.661696,46125.727744
5216.035051,821.673984,816.367616,0.0,821.673984,46126.36672
5316.729754,822.8864,817.580032,0.0,822.8864,46127.398912
5414.500028,822.8864,817.580032,0.0,822.8864,46127.382528
5509.672576,822.8864,817.580032,0.0,822.8864,46127.366144
5608.188769,822.8864,817.580032,0.0,822.8864,46127.34976
5704.95247,822.8864,817.580032,0.0,822.8864,46127.333376
5800.35605,822.8864,817.580032,0.0,822.8864,46127.316992
5904.284538,822.8864,817.580032,0.0,822.8864,46127.300608
6001.773305,822.8864,817.580032,0.0,822.8864,46127.284224
6099.098031,822.8864,817.580032,0.0,822.8864,46127.26784
6194.324945,822.8864,817.580032,0.0,822.8864,46127.251456
6296.365172,822.8864,817.580032,0.0,822.8864,46127.22688
6396.834015,822.8864,817.580032,0.0,822.8864,46127.128576
6501.078606,822.8864,817.580032,0.0,822.8864,46127.374336
6599.219693,822.8864,817.580032,0.0,822.8864,46127.357952
6703.389801,822.8864,817.580032,0.0,822.8864,46127.067136
6801.532293,822.8864,817.580032,0.0,822.8864,46127.050752
6906.769253,822.8864,817.580032,0.0,822.8864,46127.034368
7009.248658,822.8864,817.580032,0.0,822.8864,46126.75584
7110.346366,822.8864,817.580032,0.0,822.8864,46126.739456
7213.194511,822.8864,817.580032,0.0,822.8864,46126.71488
7314.296362,822.8864,817.580032,0.0,822.8864,46126.698496
7415.372607,822.8864,817.580032,0.0,822.8864,46126.682112
7516.7899,822.8864,817.580032,0.0,822.8864,46126.931968
7617.427976,822.8864,817.580032,0.0,822.8864,46126.649344
7724.256787,822.8864,817.580032,0.0,822.8864,46126.63296
7828.339078,822.8864,817.580032,0.0,822.8864,46129.119232
7928.98926,824.123392,818.817024,0.0,824.123392,46130.286592
8030.394046,824.123392,818.817024,0.0,824.123392,46129.426432
8129.594768,824.123392,818.816,0.0,824.123392,46129.524736
8227.710765,824.123392,818.817024,0.0,824.123392,46130.03264
8322.454056,824.123392,818.817024,0.0,824.123392,46129.754112
8424.789687,824.123392,818.817024,0.0,824.123392,46129.229824
8522.533617,824.123392,818.817024,0.0,824.123392,46129.21344
8621.147883,824.123392,818.817024,0.0,824.123392,46129.364992
8716.968256,824.123392,818.817024,0.0,824.123392,46129.364992
8814.472331,824.123392,818.817024,0.0,824.123392,46129.23392
8912.558108,824.123392,818.817024,0.0,824.123392,46129.491968
9007.366307,824.123392,818.817024,0.0,824.123392,46129.475584
9108.380441,824.123392,818.817024,0.0,824.123392,46129.4592
9209.683303,824.123392,818.817024,0.0,824.123392,46129.70496
9311.628555,824.123392,818.817024,0.0,824.123392,46129.426432
9415.110954,824.123392,818.817024,0.0,824.123392,46129.410048
9517.563561,824.123392,818.817024,0.0,824.123392,46129.655808
9618.653429,824.123392,818.817024,0.0,824.123392,46129.901568
9718.069258,824.123392,818.817024,0.0,824.123392,46129.885184
9817.198035,824.123392,818.817024,0.0,824.123392,46129.8688
9915.350666,824.123392,818.817024,0.0,824.123392,46129.852416
10016.014874,824.123392,818.817024,0.0,824.123392,46129.836032
10116.832444,824.123392,818.817024,0.0,824.123392,46129.819648
10218.897086,824.123392,818.817024,0.0,824.123392,46129.012736
10325.547955,824.123392,818.817024,0.0,824.123392,46129.258496
10431.310363,824.123392,818.817024,0.0,824.123392,46129.52064
10527.810658,825.339904,820.033536,0.0,825.339904,46131.32288
10627.906514,825.339904,820.033536,0.0,825.339904,46131.56864
10727.61745,825.339904,820.033536,0.0,825.339904,46131.552256
10826.25634,825.339904,820.033536,0.0,825.339904,46131.28192
10923.783463,825.339904,820.033536,0.0,825.339904,46131.265536
11023.631246,825.339904,820.033536,0.0,825.339904,46131.249152
11124.678669,825.339904,820.033536,0.0,825.339904,46131.494912
11224.345175,825.339904,820.033536,0.0,825.339904,46131.740672
11325.333883,825.339904,820.033536,0.0,825.339904,46131.724288
11426.102903,825.339904,820.033536,0.0,825.339904,46131.707904
11528.393639,825.339904,820.033536,0.0,825.339904,46131.69152
11636.056879,825.339904,820.033536,0.0,825.339904,46131.412992
11743.652727,825.339904,820.033536,0.0,825.339904,46130.8928
11847.670936,825.339904,820.033536,0.0,825.339904,46130.876416
11948.937958,825.339904,820.033536,0.0,825.339904,46130.352128
12049.780431,825.339904,820.033536,0.0,825.339904,46130.343936
